6.457797600000000093e+05;2.721177800000000279e+05
6.458640999999999767e+05;2.720752999999999884e+05
6.459105600000000559e+05;2.720523699999999953e+05
6.459420899999999674e+05;2.720302199999999721e+05
6.459828000000000466e+05;2.719683599999999860e+05
6.460073499999999767e+05;2.719557899999999790e+05
6.460316899999999441e+05;2.719709500000000116e+05
6.460318900000000140e+05;2.719982899999999790e+05
6.460119399999999441e+05;2.720242299999999814e+05
6.459712299999999814e+05;2.720633499999999767e+05
6.459612500000000000e+05;2.720904899999999907e+05
6.459732199999999721e+05;2.721104400000000023e+05
6.459969699999999721e+05;2.721140300000000279e+05
6.460306999999999534e+05;2.720992700000000186e+05
6.460560400000000373e+05;2.720988699999999953e+05
6.460708100000000559e+05;2.721114400000000023e+05
6.460751999999999534e+05;2.721339899999999907e+05
6.460761999999999534e+05;2.721661199999999953e+05
6.460929599999999627e+05;2.721820800000000163e+05
6.461123100000000559e+05;2.721902600000000093e+05
6.461266800000000512e+05;2.722044299999999930e+05
6.461340699999999488e+05;2.722477399999999907e+05
6.461228900000000140e+05;2.723018200000000070e+05
6.461031400000000140e+05;2.723618800000000047e+05
6.460981500000000233e+05;2.724025900000000256e+05
